target,fp type,fp size,optimized params,"R2 (mean, std)","MSE (mean, std)","MAE (mean, std)"
PARP1,compressed,4096.0,True,"(0.876, 0.001)","(0.195, 0.001)","(0.335, 0.001)"
PARP1,sortslice,512.0,False,"(0.863, 0.001)","(0.215, 0.002)","(0.351, 0.001)"
PARP1,sortslice,512.0,True,"(0.878, 0.001)","(0.192, 0.001)","(0.332, 0.001)"
PARP1,sortslice,1024.0,False,"(0.865, 0.002)","(0.213, 0.002)","(0.349, 0.001)"
PARP1,sortslice,1024.0,True,"(0.879, 0.001)","(0.19, 0.001)","(0.33, 0.001)"
PARP1,sortslice,2048.0,False,"(0.866, 0.001)","(0.211, 0.002)","(0.347, 0.001)"
PARP1,sortslice,2048.0,True,"(0.881, 0.001)","(0.187, 0.001)","(0.328, 0.001)"
PARP1,sortslice,4096.0,False,"(0.866, 0.002)","(0.21, 0.002)","(0.346, 0.001)"
PARP1,sortslice,4096.0,True,"(0.882, 0.001)","(0.186, 0.001)","(0.327, 0.001)"
PGR,exact,,False,"(0.461, 0.005)","(0.503, 0.004)","(0.556, 0.003)"
PGR,exact,,True,"(0.47, 0.004)","(0.494, 0.003)","(0.553, 0.002)"
PGR,compressed,512.0,False,"(0.435, 0.005)","(0.527, 0.005)","(0.569, 0.003)"
PGR,compressed,512.0,True,"(0.444, 0.004)","(0.519, 0.004)","(0.568, 0.002)"
PGR,compressed,1024.0,False,"(0.434, 0.005)","(0.528, 0.005)","(0.57, 0.003)"
PGR,compressed,1024.0,True,"(0.444, 0.004)","(0.519, 0.003)","(0.568, 0.002)"
PGR,compressed,2048.0,False,"(0.432, 0.005)","(0.529, 0.005)","(0.57, 0.003)"
PGR,compressed,2048.0,True,"(0.449, 0.004)","(0.514, 0.003)","(0.565, 0.002)"
PGR,compressed,4096.0,False,"(0.439, 0.006)","(0.523, 0.005)","(0.567, 0.003)"
PGR,compressed,4096.0,True,"(0.457, 0.004)","(0.506, 0.004)","(0.561, 0.002)"
PGR,sortslice,512.0,False,"(0.452, 0.005)","(0.511, 0.005)","(0.556, 0.003)"
PGR,sortslice,512.0,True,"(0.48, 0.003)","(0.485, 0.003)","(0.545, 0.002)"
PGR,sortslice,1024.0,False,"(0.456, 0.004)","(0.507, 0.004)","(0.554, 0.002)"
PGR,sortslice,1024.0,True,"(0.478, 0.002)","(0.487, 0.002)","(0.547, 0.002)"
PGR,sortslice,2048.0,False,"(0.458, 0.004)","(0.505, 0.004)","(0.554, 0.002)"
PGR,sortslice,2048.0,True,"(0.476, 0.003)","(0.489, 0.003)","(0.549, 0.002)"
PGR,sortslice,4096.0,False,"(0.459, 0.005)","(0.504, 0.004)","(0.554, 0.003)"
PGR,sortslice,4096.0,True,"(0.474, 0.003)","(0.49, 0.003)","(0.55, 0.002)"
