pair_idx,fp_size,num_collisions,tanimoto_exact,tanimoto_compressed,tanimoto_compressed_difference
31,2048,3,0.0671,0.0816,0.0145
31,4096,1,0.0671,0.0671,0.0000
32,512,3,0.1037,0.1288,0.0251
32,1024,2,0.1037,0.1203,0.0166
32,2048,1,0.1037,0.1119,0.0082
32,4096,1,0.1037,0.1119,0.0082
33,512,4,0.1214,0.1544,0.0330
33,1024,2,0.1214,0.1377,0.0163
33,2048,1,0.1214,0.1295,0.0081
33,4096,1,0.1214,0.1295,0.0081
34,512,4,0.1857,0.2117,0.0260
34,1024,2,0.1857,0.1942,0.0085
34,2048,1,0.1857,0.1857,0.0000
34,4096,0,0.1857,0.1857,0.0000
35,512,6,0.1718,0.2089,0.0371
35,1024,3,0.1718,0.1938,0.0220
35,2048,2,0.1718,0.1863,0.0146
35,4096,1,0.1718,0.1790,0.0072
36,512,6,0.0936,0.1131,0.0195
36,1024,2,0.0936,0.0936,0.0000
36,2048,1,0.0936,0.0936,0.0000
36,4096,0,0.0936,0.0936,0.0000
37,512,5,0.1022,0.1439,0.0417
37,1024,2,0.1022,0.1185,0.0163
37,2048,2,0.1022,0.1185,0.0163
37,4096,1,0.1022,0.1103,0.0081
38,512,2,0.2414,0.2632,0.0218
38,1024,1,0.2414,0.2522,0.0108
38,2048,0,0.2414,0.2414,0.0000
38,4096,0,0.2414,0.2414,0.0000
39,512,11,0.1699,0.2260,0.0561
39,1024,7,0.1699,0.2013,0.0314
39,2048,3,0.1699,0.1854,0.0155
39,4096,1,0.1699,0.1699,0.0000
40,512,7,0.1298,0.1746,0.0448
40,1024,4,0.1298,0.1562,0.0265
40,2048,2,0.1298,0.1473,0.0175
40,4096,0,0.1298,0.1298,0.0000
41,512,6,0.1415,0.1863,0.0448
41,1024,2,0.1415,0.1524,0.0109
41,2048,1,0.1415,0.1415,0.0000
41,4096,0,0.1415,0.1415,0.0000
42,512,5,0.1524,0.1667,0.0142
42,1024,4,0.1524,0.1667,0.0142
42,2048,2,0.1524,0.1595,0.0071
42,4096,0,0.1524,0.1524,0.0000
43,512,2,0.1513,0.1709,0.0197
43,1024,0,0.1513,0.1513,0.0000
43,2048,0,0.1513,0.1513,0.0000
43,4096,0,0.1513,0.1513,0.0000
44,512,5,0.0952,0.1405,0.0453
44,1024,4,0.0952,0.1311,0.0359
44,2048,2,0.0952,0.1129,0.0177
44,4096,0,0.0952,0.0952,0.0000
45,512,4,0.1017,0.1404,0.0387
45,1024,3,0.1017,0.1304,0.0287
45,2048,1,0.1017,0.1111,0.0094
45,4096,0,0.1017,0.1017,0.0000
46,512,4,0.1074,0.1453,0.0379
46,1024,1,0.1074,0.1074,0.0000
46,2048,1,0.1074,0.1074,0.0000
46,4096,1,0.1074,0.1074,0.0000
47,512,2,0.1525,0.1624,0.0099
47,1024,0,0.1525,0.1525,0.0000
47,2048,0,0.1525,0.1525,0.0000
47,4096,0,0.1525,0.1525,0.0000
48,512,2,0.1333,0.1525,0.0192
48,1024,2,0.1333,0.1525,0.0192
48,2048,0,0.1333,0.1333,0.0000
48,4096,0,0.1333,0.1333,0.0000
49,512,18,0.2629,0.3502,0.0873
49,1024,8,0.2629,0.3022,0.0393
49,2048,5,0.2629,0.2795,0.0165
49,4096,2,0.2629,0.2684,0.0055
50,512,19,0.0632,0.1635,0.1003
50,1024,11,0.0632,0.1280,0.0648
50,2048,6,0.0632,0.1012,0.0380
50,4096,2,0.0632,0.0756,0.0124
51,512,1,0.1165,0.1275,0.0109
51,1024,0,0.1165,0.1165,0.0000
51,2048,0,0.1165,0.1165,0.0000
51,4096,0,0.1165,0.1165,0.0000
52,512,4,0.1356,0.1754,0.0398
52,1024,3,0.1356,0.1652,0.0296
52,2048,0,0.1356,0.1356,0.0000
52,4096,0,0.1356,0.1356,0.0000
53,512,6,0.1707,0.1925,0.0218
53,1024,4,0.1707,0.1852,0.0145
53,2048,1,0.1707,0.1779,0.0072
53,4096,1,0.1707,0.1779,0.0072
54,512,5,0.1069,0.1328,0.0259
54,1024,3,0.1069,0.1240,0.0172
54,2048,3,0.1069,0.1240,0.0172
54,4096,0,0.1069,0.1069,0.0000
55,512,2,0.1154,0.1328,0.0174
55,1024,1,0.1154,0.1240,0.0086
55,2048,1,0.1154,0.1240,0.0086
55,4096,1,0.1154,0.1240,0.0086
56,512,0,0.1828,0.1828,0.0000
56,1024,0,0.1828,0.1828,0.0000
56,2048,0,0.1828,0.1828,0.0000
56,4096,0,0.1828,0.1828,0.0000
57,512,5,0.2586,0.3036,0.0450
57,1024,2,0.2586,0.2696,0.0109
57,2048,0,0.2586,0.2586,0.0000
57,4096,0,0.2586,0.2586,0.0000
58,512,3,0.1613,0.1901,0.0288
58,1024,1,0.1613,0.1707,0.0094
58,2048,1,0.1613,0.1707,0.0094
58,4096,0,0.1613,0.1613,0.0000
59,512,4,0.1538,0.1786,0.0247
59,1024,2,0.1538,0.1702,0.0164
59,2048,1,0.1538,0.1620,0.0081
59,4096,0,0.1538,0.1538,0.0000
60,512,8,0.2388,0.3071,0.0683
60,1024,4,0.2388,0.2769,0.0381
60,2048,2,0.2388,0.2576,0.0188
60,4096,2,0.2388,0.2576,0.0188
61,512,12,0.1974,0.3094,0.1120
61,1024,6,0.1974,0.2552,0.0578
61,2048,3,0.1974,0.2215,0.0241
61,4096,3,0.1974,0.2215,0.0241
62,512,5,0.2460,0.2661,0.0201
62,1024,3,0.2460,0.2661,0.0201
62,2048,1,0.2460,0.2560,0.0100
62,4096,0,0.2460,0.2460,0.0000
63,512,4,0.1479,0.1727,0.0248
63,1024,3,0.1479,0.1727,0.0248
63,2048,3,0.1479,0.1727,0.0248
63,4096,1,0.1479,0.1560,0.0081
64,512,3,0.2069,0.2174,0.0105
64,1024,1,0.2069,0.2069,0.0000
64,2048,1,0.2069,0.2069,0.0000
64,4096,0,0.2069,0.2069,0.0000
65,512,1,0.1440,0.1532,0.0092
65,1024,1,0.1440,0.1532,0.0092
65,2048,1,0.1440,0.1532,0.0092
65,4096,0,0.1440,0.1440,0.0000
66,512,3,0.1732,0.1920,0.0188
66,1024,1,0.1732,0.1825,0.0093
66,2048,0,0.1732,0.1732,0.0000
66,4096,0,0.1732,0.1732,0.0000
67,512,5,0.1818,0.2264,0.0446
67,1024,3,0.1818,0.2150,0.0331
67,2048,1,0.1818,0.1927,0.0108
67,4096,0,0.1818,0.1818,0.0000
68,512,2,0.2414,0.2587,0.0174
68,1024,1,0.2414,0.2500,0.0086
68,2048,1,0.2414,0.2500,0.0086
68,4096,0,0.2414,0.2414,0.0000
69,512,1,0.1226,0.1299,0.0073
69,1024,1,0.1226,0.1299,0.0073
69,2048,0,0.1226,0.1226,0.0000
69,4096,0,0.1226,0.1226,0.0000
70,512,8,0.1256,0.1546,0.0290
70,1024,5,0.1256,0.1487,0.0231
70,2048,2,0.1256,0.1313,0.0057
70,4096,0,0.1256,0.1256,0.0000
71,512,6,0.0769,0.1079,0.0310
71,1024,4,0.0769,0.1000,0.0231
71,2048,2,0.0769,0.0845,0.0076
71,4096,0,0.0769,0.0769,0.0000
72,512,1,0.1557,0.1557,0.0000
72,1024,1,0.1557,0.1557,0.0000
72,2048,1,0.1557,0.1557,0.0000
72,4096,0,0.1557,0.1557,0.0000
73,512,3,0.2439,0.2541,0.0102
73,1024,1,0.2439,0.2541,0.0102
73,2048,0,0.2439,0.2439,0.0000
73,4096,0,0.2439,0.2439,0.0000
74,512,3,0.1360,0.1639,0.0279
74,1024,2,0.1360,0.1545,0.0185
74,2048,2,0.1360,0.1545,0.0185
74,4096,0,0.1360,0.1360,0.0000
75,512,2,0.1618,0.1791,0.0173
75,1024,1,0.1618,0.1704,0.0086
75,2048,1,0.1618,0.1704,0.0086
75,4096,1,0.1618,0.1704,0.0086
76,512,7,0.1429,0.1905,0.0476
76,1024,4,0.1429,0.1696,0.0267
76,2048,4,0.1429,0.1696,0.0267
76,4096,4,0.1429,0.1696,0.0267
77,512,4,0.2261,0.2368,0.0108
77,1024,2,0.2261,0.2368,0.0108
77,2048,1,0.2261,0.2261,0.0000
77,4096,0,0.2261,0.2261,0.0000
78,512,5,0.2148,0.2424,0.0276
78,1024,5,0.2148,0.2424,0.0276
78,2048,4,0.2148,0.2424,0.0276
78,4096,2,0.2148,0.2331,0.0183
79,512,4,0.1769,0.2047,0.0278
79,1024,3,0.1769,0.1953,0.0184
79,2048,1,0.1769,0.1769,0.0000
79,4096,1,0.1769,0.1769,0.0000
80,512,7,0.1727,0.2074,0.0347
80,1024,3,0.1727,0.1985,0.0259
80,2048,2,0.1727,0.1812,0.0085
80,4096,1,0.1727,0.1812,0.0085
81,512,9,0.1846,0.2419,0.0573
81,1024,5,0.1846,0.2320,0.0474
81,2048,4,0.1846,0.2222,0.0376
81,4096,2,0.1846,0.2031,0.0185
82,512,7,0.0704,0.1095,0.0391
82,1024,2,0.0704,0.0780,0.0076
82,2048,2,0.0704,0.0780,0.0076
82,4096,0,0.0704,0.0704,0.0000
83,512,6,0.1696,0.2048,0.0352
83,1024,2,0.1696,0.1834,0.0138
83,2048,1,0.1696,0.1765,0.0069
83,4096,0,0.1696,0.1696,0.0000
84,512,5,0.1096,0.1408,0.0313
84,1024,4,0.1096,0.1408,0.0313
